date,time,query,response
2022-05-14,10:27:31,Entered,Entered
2022-05-14,10:31:28,Entered,Entered
2022-05-14,10:39:24,Entered,Entered
2022-06-06,22:11:27,Entered,Entered
2022-06-06,22:11:45,Entered,Entered
2022-06-06,22:12:02,Entered,Entered
2022-06-06,22:12:25,Entered,Entered
2022-06-06,22:27:26,Entered,Entered
2022-07-08,22:38:54,Entered,Entered
2022-07-12,10:34:14,Entered,Entered
2022-07-12,10:35:18,Entered,Entered
2022-07-12,10:36:05,Entered,Entered
2022-07-12,10:39:02,Entered,Entered
2022-07-12,10:58:25,Entered,Entered
2022-07-12,10:58:51,Entered,Entered
2022-07-12,11:01:12,Entered,Entered
2022-07-12,11:09:04,Entered,Entered
2022-07-15,18:27:48,Entered,Entered
2022-07-15,19:17:05,Entered,Entered
2022-07-15,19:24:23,Entered,Entered
2022-07-15,19:24:59,Entered,Entered
2022-07-15,19:26:53,Entered,Entered
2022-07-15,19:29:34,Entered,Entered
2022-07-15,19:35:55,Entered,Entered
2022-07-15,19:38:57,Entered,Entered
2022-07-15,19:45:45,Entered,Entered
2022-07-15,20:08:37,Entered,Entered
2022-07-15,20:24:56,Entered,Entered
2022-07-15,20:25:16,Entered,Entered
2022-07-15,20:26:27,Entered,Entered
2022-07-15,20:29:15,Entered,Entered
2022-07-15,20:29:47,Entered,Entered
2022-07-15,20:32:47,Entered,Entered
2022-07-15,20:36:01,Entered,Entered
2022-07-15,20:51:29,Entered,Entered
2022-07-19,14:48:12,Entered,Entered
2022-07-19,14:48:32,Entered,Entered
2022-07-28,11:21:20,Entered,Entered
2022-07-28,11:30:30,Entered,Entered
2022-07-28,11:38:30,Entered,Entered
2022-07-28,11:42:08,Entered,Entered
2022-07-28,11:42:39,Entered,Entered
2022-07-28,11:47:03,Entered,Entered
2022-07-28,11:51:52,Entered,Entered
2022-07-28,11:52:37,Entered,Entered
2022-07-28,11:53:07,Entered,Entered
2022-07-28,11:53:37,Entered,Entered
2022-07-28,12:03:01,Entered,Entered
2022-07-28,12:03:43,Entered,Entered
2022-07-28,12:04:18,Entered,Entered
2022-07-28,12:24:34,Entered,Entered
2022-07-28,12:27:18,Entered,Entered
2022-07-28,12:32:34,Entered,Entered
2022-07-28,12:33:38,Entered,Entered
2022-07-28,12:34:34,Entered,Entered
2022-07-28,14:48:52,Entered,Entered
2022-07-28,14:49:14,Entered,Entered
2022-07-28,15:00:44,Entered,Entered
2022-07-28,15:01:31,Entered,Entered
2022-07-28,15:02:48,Entered,Entered
2022-07-28,15:03:08,Entered,Entered
2022-07-28,15:03:18,Entered,Entered
2022-07-28,15:04:56,Entered,Entered
2022-07-28,15:05:51,Entered,Entered
2022-07-28,15:15:06,Entered,Entered
2022-07-28,15:16:24,Entered,Entered
2022-07-28,15:18:58,Entered,Entered
2022-07-28,17:55:36,Entered,Entered
2022-07-28,17:56:01,Entered,Entered
2022-07-28,18:06:17,Entered,Entered
2022-07-28,18:08:57,Entered,Entered
2022-07-28,18:09:22,Entered,Entered
2022-07-28,18:17:02,Entered,Entered
2022-07-28,18:37:52,Entered,Entered
2022-07-28,18:38:15,Entered,Entered
2022-07-28,19:46:42,Entered,Entered
2022-07-28,19:50:57,Entered,Entered
2022-07-28,20:04:32,Entered,Entered
2022-10-24,07:32:18,Entered,Entered
2022-10-24,07:32:37,Entered,Entered
2022-10-24,07:36:54,Entered,Entered
2022-10-24,07:41:49,Entered,Entered
2022-10-24,07:43:21,Entered,Entered
2022-10-24,07:43:30,Entered,Entered
2022-10-24,07:47:49,Entered,Entered
2022-10-24,21:24:07,Entered,Entered
2022-10-24,21:25:37,Entered,Entered
2022-10-25,11:19:49,Entered,Entered
2022-10-25,11:21:12,Entered,Entered
2022-10-25,14:29:43,Entered,Entered
2022-10-25,14:13:01,Entered,Entered
2022-10-26,07:04:09,Entered,Entered
2022-11-01,11:07:31,Entered,Entered
2022-11-01,11:08:31,Entered,Entered
2022-11-01,11:08:44,Entered,Entered
2022-11-01,11:50:27,Entered,Entered
2022-11-01,11:51:57,Entered,Entered
2022-11-01,11:55:32,Entered,Entered
2022-11-01,21:07:50,Entered,Entered
2022-11-01,21:08:14,Entered,Entered
2022-11-01,21:08:40,Entered,Entered
2022-11-01,21:09:38,Entered,Entered
2022-11-01,21:11:07,Entered,Entered
2022-11-01,21:28:33,Entered,Entered
2022-11-01,21:29:19,Entered,Entered
2022-11-01,21:30:19,Entered,Entered
2022-11-01,21:32:04,Entered,Entered
2022-11-01,21:34:43,Entered,Entered
2022-11-01,21:34:59,Entered,Entered
2022-11-01,21:39:47,Entered,Entered
2022-11-01,21:40:01,Entered,Entered
2022-11-01,21:43:28,Entered,Entered
2022-11-01,21:48:17,Entered,Entered
2022-11-01,21:51:22,Entered,Entered
2022-11-03,16:01:39,Entered,Entered
2022-11-03,21:26:42,Entered,Entered
2022-11-03,21:28:35,Entered,Entered
2022-11-03,22:50:57,Entered,Entered
2022-11-03,22:51:18,Entered,Entered
2022-11-03,22:59:26,Entered,Entered
2022-11-03,23:41:09,Entered,Entered
2022-11-03,23:41:33,Entered,Entered
2022-11-03,23:42:11,Entered,Entered
2022-11-03,23:44:39,Entered,Entered
2022-11-04,11:51:14,Entered,Entered
2022-11-04,11:52:31,Entered,Entered
2022-11-04,11:52:56,Entered,Entered
2022-11-04,11:53:11,Entered,Entered
2022-11-04,11:55:12,Entered,Entered
2022-11-04,11:56:41,Entered,Entered
2022-11-04,23:35:10,Entered,Entered
